,precision,recall,f1-score,support
 Approved,0.975609756097561,0.9831029185867896,0.9793420045906657,651.0
 Rejected,0.9733009708737864,0.9616306954436451,0.9674306393244874,417.0
accuracy,0.9747191011235955,0.9747191011235955,0.9747191011235955,0.9747191011235955
macro avg,0.9744553634856736,0.9723668070152174,0.9733863219575765,1068.0
weighted avg,0.9747082922040085,0.9747191011235955,0.9746912187142647,1068.0
