Model,Summary,Loss,Accuracy
nn,"Model: ""sequential""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 dense (Dense)               (None, 24)                312       
                                                                 
 dropout (Dropout)           (None, 24)                0         
                                                                 
 dense_1 (Dense)             (None, 12)                300       
                                                                 
 dropout_1 (Dropout)         (None, 12)                0         
                                                                 
 dense_2 (Dense)             (None, 1)                 13        
                                                                 
=================================================================
Total params: 625 (2.44 KB)
Trainable params: 625 (2.44 KB)
Non-trainable params: 0 (0.00 Byte)
_________________________________________________________________
",0.1478002965450287,0.9700374603271484
optimized_nn,"Model: ""sequential_1""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 dense_3 (Dense)             (None, 36)                468       
                                                                 
 dropout_2 (Dropout)         (None, 36)                0         
                                                                 
 dense_4 (Dense)             (None, 24)                888       
                                                                 
 dropout_3 (Dropout)         (None, 24)                0         
                                                                 
 dense_5 (Dense)             (None, 12)                300       
                                                                 
 dense_6 (Dense)             (None, 1)                 13        
                                                                 
=================================================================
Total params: 1669 (6.52 KB)
Trainable params: 1669 (6.52 KB)
Non-trainable params: 0 (0.00 Byte)
_________________________________________________________________
",1.0808980464935303,0.6385768055915833
advanced_nn,"Model: ""sequential_2""
_________________________________________________________________
 Layer (type)                Output Shape              Param #   
=================================================================
 dense_7 (Dense)             (None, 36)                468       
                                                                 
 leaky_re_lu (LeakyReLU)     (None, 36)                0         
                                                                 
 dense_8 (Dense)             (None, 24)                888       
                                                                 
 leaky_re_lu_1 (LeakyReLU)   (None, 24)                0         
                                                                 
 dense_9 (Dense)             (None, 12)                300       
                                                                 
 dense_10 (Dense)            (None, 6)                 78        
                                                                 
 dense_11 (Dense)            (None, 1)                 7         
                                                                 
=================================================================
Total params: 1741 (6.80 KB)
Trainable params: 1741 (6.80 KB)
Non-trainable params: 0 (0.00 Byte)
_________________________________________________________________
",0.11039558053016663,0.9691011309623718
